transaction_id,branch_id,city,timestamp,amount,status,account_number,failure_reason,user_name
51,B001,New York,2025-04-17 17:53:45,232.81,SUCCESS,PDGJ93194338417117,,Cindy Knox
52,B001,,2025-04-12 06:44:34,764.88,FAILED,HZMY45676375660965,,Vincent Johnson
53,B003,,2025-04-02 08:51:11,392.49,SUCCESS,GCEK83041837074501,,David Greene
54,,,2025-04-30 13:18:41,168.22,,,,John Harvey
55,B002,New York,2025-04-08 05:22:29,416.88,PENDING,ENRG50384553654194,,Mark Wright
56,B002,Chicago,2025-04-06 00:34:12,56.61,,UOEU17084953863794,,Anne Miller
57,,Chicago,2025-04-10 09:27:10,359.95,SUCCESS,STVE66025716097201,,Julie Henderson
58,,,2025-04-10 06:38:20,,,XMRY67522594008874,,Lisa Johnson
59,B002,Los Angeles,2025-04-26 12:04:25,416.1,SUCCESS,UQPF93771553695797,,Ann Wagner
60,B003,New York,2025-04-13 05:44:51,391.54,,BJKM72066504179648,,Miranda Turner
61,B003,,2025-04-06 14:14:09,868.24,SUCCESS,OAFM41964961089878,,Daniel Marshall
62,B001,Chicago,2025-04-03 00:27:53,774.75,,IENL88911293619937,,Connie Cannon
63,B002,Chicago,2025-04-19 09:04:36,114.95,,YUNZ57111684290096,,Elizabeth Wood
64,B002,Chicago,2025-04-12 23:36:05,859.2,,ZBUA36968394194306,,Barbara Jackson
65,B003,New York,2025-04-07 06:12:09,711.19,PENDING,KXHS90330455087129,,Sean Gonzalez
66,B003,New York,2025-04-30 18:41:28,271.39,SUCCESS,EDDP14261222359197,,Robert Miller
67,,Los Angeles,2025-04-07 09:11:17,202.73,FAILED,AZGQ53044344535579,Insufficient Funds,Cynthia Moreno
68,B002,New York,2025-04-19 14:59:39,428.57,,DQOT75105483555353,,Daniel Reid
69,B002,Los Angeles,2025-04-28 21:14:37,656.2,,HSGY19823274228581,,Tracy Taylor
70,B001,New York,,345.62,,QLFC17775379951651,,Jason Orr
71,B001,Los Angeles,2025-04-14 00:56:58,617.29,PENDING,LUHF36970933975398,,Terry Cooper
72,B003,Chicago,2025-04-05 12:41:06,774.14,SUCCESS,MTEB17147102401599,,Mark Kelley
73,,,2025-04-22 10:49:34,885.01,FAILED,MKHA19550267474413,Insufficient Funds,Chad Smith
74,B002,Los Angeles,2025-04-22 19:53:49,655.4,,ZQJK26630786930812,,Kenneth Cook
75,B003,,2025-04-28 15:41:29,530.7,PENDING,TPZX91077981504189,,Ashley Scott
76,B002,New York,2025-04-21 02:18:56,710.35,SUCCESS,YZVT69885677445962,,Anna Rivera
77,B001,New York,2025-04-18 18:07:25,225.3,SUCCESS,IAYG69713558522050,,Sheryl Ross
78,B001,Los Angeles,2025-04-06 04:53:23,599.06,SUCCESS,VGCQ78392965644731,,Mark Ingram
79,B003,New York,2025-04-14 04:26:24,993.98,,WVEX30116970063693,,John Fletcher
80,B002,Chicago,2025-04-10 22:23:07,641.16,FAILED,EPBW16190143576846,Network Error,Joanne Walker
81,B002,New York,2025-04-03 17:59:08,241.42,PENDING,BVBM59293367085254,,Kayla Hood
82,,Chicago,2025-04-14 00:45:55,672.54,PENDING,VPDV74233689893200,,Sherri May DDS
83,,,2025-04-20 08:22:06,21.49,,OLDN67956692122969,,Shannon Williams
84,B003,,2025-04-30 05:59:19,338.73,,DFRT42857058783832,,Alexis Bell
85,B003,Los Angeles,2025-04-10 02:58:07,670.85,PENDING,ZPUU71078670115008,,Jessica Maldonado
86,B001,Chicago,2025-04-03 07:22:36,,FAILED,FVIK93212296520191,Card Expired,Megan Jackson
87,,,,683.21,SUCCESS,HOJF87728532777332,,Michelle Frazier
88,B002,,2025-04-25 22:00:31,470.21,SUCCESS,KUKO36407092870556,,Jessica Fletcher
89,,Los Angeles,2025-04-08 17:56:15,820.62,,ZEXF90900335342564,,Michael Pena
90,,,2025-04-07 21:09:25,523.15,,JQVT76861394807578,,Carla Franklin
91,B002,Chicago,2025-04-19 09:18:50,984.35,SUCCESS,KEXR20165556549396,,Katie Perez
92,B001,New York,2025-04-23 01:36:45,76.48,,NJVQ87585567746834,,William Crawford DDS
93,,New York,2025-04-24 20:47:56,786.16,PENDING,IRGY47118941834000,,Natasha Copeland
94,B003,,2025-04-02 21:31:57,978.57,PENDING,LRYJ78379811737465,,Melissa Horton
95,,New York,2025-04-28 20:11:21,713.84,FAILED,GBGS38599567555625,,Robin Mccullough
96,B002,New York,2025-04-19 16:33:24,778.88,PENDING,LWWJ05039700434112,,Ronnie Harper
97,,New York,2025-04-16 03:48:45,295.83,PENDING,TKOT62634428026651,,Micheal Smith
98,B001,New York,2025-04-21 08:46:55,,SUCCESS,IMUS07597704392164,,Darren Odonnell
99,,Chicago,2025-04-23 23:49:30,,SUCCESS,MGBN74460796340003,,Harry Kemp
100,B003,Chicago,2025-04-23 23:00:28,795.47,FAILED,XVNM81320109850202,Insufficient Funds,William Olsen
101,B002,New York,2025-04-20 10:17:07,233.44,,RAIT71577086303522,,Keith Bolton
102,B002,Los Angeles,2025-04-08 18:56:15,66.68,FAILED,VLQA66330409663723,,Kurt Owens
103,B003,Los Angeles,2025-04-05 06:13:29,511.89,PENDING,OWSP58896315113495,,Deborah Nicholson
104,,,2025-04-19 16:37:44,137.26,,GULN62365384090565,,Jason Hawkins
105,,,2025-04-17 19:10:22,,PENDING,PCBG44503860765175,,Sara Beltran
106,B001,,2025-04-27 21:57:22,,,WMDF07841290839299,,Alexis Lopez
107,B002,New York,2025-04-09 22:32:48,349.28,,HSYV76155406536103,,Mark Martinez
108,B001,,2025-04-04 04:30:40,849.87,,QRJY60042641056661,,Michael Willis
109,B003,Los Angeles,2025-04-30 07:42:26,180.9,,NLKH15019768035362,,Brian Taylor PhD
110,,,2025-04-08 02:25:09,67.36,,RUUI72960806934776,,Samantha Simmons
111,,New York,2025-04-27 18:38:25,,PENDING,OXEC72463939823201,,Amy Baird MD
112,B002,,2025-04-04 18:47:35,591.24,SUCCESS,PHIV92033469674005,,Ms. Anna Wiley
113,B003,Los Angeles,2025-04-03 06:59:22,124.41,,BUEE43591463049497,,Ashley Christian
114,B001,Los Angeles,,901.26,PENDING,FPNP85534808584659,,Edgar Barrett
115,B002,,2025-04-12 06:29:59,,PENDING,DFIH28230431070696,,Stephanie Rogers
116,,,2025-04-10 03:28:06,937.83,FAILED,JXVQ40188576484733,Card Expired,Shawn Meyer
117,B002,,2025-04-26 17:06:13,,SUCCESS,VGOB59123138691506,,Ashley Simmons
118,,Chicago,2025-04-04 17:36:19,344.29,SUCCESS,CBAH11777568302833,,Tiffany Marquez
119,,Chicago,2025-04-21 18:40:54,558.07,FAILED,ZYSN97460030241109,Network Error,Theodore Thompson
120,,New York,2025-04-11 09:42:27,464.92,PENDING,JEDD98992522014163,,Tony Jenkins
121,B002,Chicago,2025-04-15 07:29:05,477.27,PENDING,HSPQ73686612246974,,Jacqueline Long
122,,,2025-04-19 11:55:12,473.98,,CBVC14547873948686,,Bryce Short
123,B003,,2025-04-02 00:34:40,601.98,,LHFL23819966834480,,Nicole Hoover
124,,Los Angeles,2025-04-27 07:14:30,593.46,SUCCESS,EJGF03930498248331,,Stephanie Black
125,B003,,2025-04-26 05:57:39,722.89,PENDING,YJTV60996692758814,,Nicholas Cardenas
126,B002,,2025-04-24 00:06:32,546.73,,KXMP45008034731959,,Steven Walker
127,B001,New York,2025-04-07 05:11:56,635.02,PENDING,KICI54793769195619,,Christopher Carson
128,B001,New York,2025-04-04 17:06:53,283.53,FAILED,ZVZT02054540608004,,Jennifer Jones
129,,New York,2025-04-17 19:09:18,868.51,SUCCESS,BHKT06364217503072,,Kenneth Cook
130,B001,New York,2025-04-22 23:54:49,799.4,,CEMQ15004457320271,,Ivan Peters
131,,Los Angeles,2025-04-06 14:16:27,182.51,PENDING,VHXY68741434450562,,Rebecca Dudley
132,,,2025-04-29 16:57:14,172.03,FAILED,ZGXP21871540725856,Card Expired,Marissa Quinn
133,B002,,2025-04-16 22:19:17,800.36,,DLBX00552566374695,,Melissa Dixon
134,B003,New York,2025-04-26 07:43:50,811.0,,UGAH89652424657212,,Connor Olsen
135,B003,Chicago,2025-04-28 19:46:28,912.75,PENDING,GFLN40230604368567,,Beth Boyer
136,B003,Chicago,2025-05-01 11:03:49,947.32,,BMCO30826895654832,,Daniel Thomas
137,,New York,2025-04-11 10:55:02,817.04,,BJIN01267857872780,,Tracey Reynolds
138,B001,Los Angeles,2025-04-21 17:27:12,482.11,,ATZQ00439816332755,,Maria Velazquez
139,B003,Chicago,2025-04-20 09:33:35,561.23,SUCCESS,FBLO08395533262427,,Michelle Holt
140,B002,Chicago,2025-04-24 01:10:55,316.66,FAILED,NQLF52571011145390,,Anthony Hill
141,B002,Chicago,2025-04-17 05:17:57,30.44,PENDING,SQVS01987041196977,,Mark Moreno
142,B003,,2025-04-24 16:42:38,488.47,,OVEU29233148833854,,Terry Smith
143,B002,Chicago,2025-04-20 02:29:32,,,TNVE91060837746190,,Michelle Stein
144,B002,Los Angeles,2025-04-10 20:27:23,617.93,,NQFI18188757955613,,Jasmine Kennedy
145,,,2025-04-03 10:52:10,489.41,FAILED,LTVE19665013119582,Card Expired,Eduardo Mitchell
146,B002,,2025-04-18 12:11:07,318.92,,WRVI48544370747639,,Jennifer Heath
147,B002,Chicago,2025-04-10 23:33:44,141.31,,CIIN50295839702913,,Nathaniel Smith
148,B001,New York,2025-04-05 00:23:57,261.79,FAILED,,Insufficient Funds,Erin Parker
149,B003,,2025-04-25 16:11:49,543.78,,OLZG16796051239777,,Hannah Roberts
150,B001,,2025-04-19 17:16:09,303.79,,DKKF22980673531991,,Ashley Mejia
151,B003,,2025-04-28 05:20:35,416.64,,UUFJ23716455511135,,Bobby Henry
152,,Los Angeles,2025-04-16 05:29:53,,SUCCESS,WXHM81643507154049,,Benjamin Riley
153,,Los Angeles,2025-04-25 11:00:33,,SUCCESS,MHLP78569573186868,,Meredith Lewis
154,,,2025-04-26 03:38:08,168.62,FAILED,,,Hunter Alexander
155,,New York,2025-04-14 03:16:24,565.23,SUCCESS,ZKJK83022041713604,,Angela Henry
156,,Chicago,2025-04-13 23:28:21,22.49,PENDING,LATM35242021044166,,Marissa Hensley
157,B003,Chicago,2025-04-03 00:25:05,169.73,PENDING,PZJS16602796456530,,Elizabeth Brown
158,B003,,2025-04-09 14:41:05,661.11,FAILED,SDPW48726548708709,,
159,B003,Los Angeles,2025-04-10 02:02:27,953.07,SUCCESS,SQKQ61365047525573,,Erin Davis
160,B003,Chicago,2025-04-03 06:35:18,985.92,FAILED,WUSE58366849961709,Insufficient Funds,Candice Chavez
161,B001,,2025-04-29 15:21:51,620.43,,NLCA36405387308942,,Paul Russell
162,B003,,2025-04-16 12:32:32,363.58,,FXQK33120594663821,,Scott Harris
163,B003,Los Angeles,2025-04-28 04:46:46,18.44,FAILED,GJFP54120585965309,Network Error,Justin Jenkins
164,B002,Chicago,2025-04-19 11:09:53,,,PMGM13381269102842,,Ana Willis
165,B003,Chicago,2025-04-29 21:13:15,622.68,PENDING,MAIS76160926943725,,Laura Velazquez
166,,Los Angeles,2025-04-18 07:55:21,,SUCCESS,HZSE32829407547439,,Cody Bowen
167,B001,New York,2025-04-20 07:41:06,365.32,,GSAQ87750591328863,,Micheal Owen
168,,,2025-04-22 14:41:06,771.92,SUCCESS,,,Eric Lewis
169,,,2025-04-30 22:04:05,,,DXTZ52747157442100,,Adrienne Nguyen
170,B003,,2025-04-30 16:46:36,262.25,FAILED,FZYU20538063416000,,Susan Fisher
171,B001,Los Angeles,2025-04-04 12:20:44,460.21,FAILED,GOQW91581219383601,Network Error,
172,B001,,2025-04-10 16:40:09,368.74,PENDING,IVUY14092950656618,,Corey Smith
173,B002,Los Angeles,2025-04-09 00:27:49,72.6,,LHAQ68285474218621,,Karen King
174,,New York,2025-04-18 05:32:01,978.22,,HZHB30617933599607,,Lonnie Wright
175,B001,Los Angeles,2025-04-05 13:50:11,,,AOKA40789142638922,,Jade Hodges
176,B003,Los Angeles,2025-04-13 06:05:24,985.33,PENDING,UCTX32622074212603,,Brooke Barrett
177,B002,Los Angeles,2025-04-09 23:53:13,297.12,SUCCESS,JMDK91133440150184,,Robert Pope
178,,Los Angeles,2025-04-03 05:14:29,769.12,PENDING,DEGZ30524686329104,,Mark Farrell
179,,Chicago,2025-04-21 16:22:44,554.28,PENDING,QNPM02219049094267,,Daniel Saunders
180,,Chicago,2025-04-30 03:34:53,699.64,PENDING,IOOQ53136087164015,,Jessica Massey
181,B003,New York,2025-04-20 21:26:57,684.45,FAILED,TAFV81575502450836,,Scott Lamb
182,,New York,2025-04-13 21:48:41,610.79,,AUVC68845043354741,,Ashley Boyd
183,,,2025-04-02 20:22:51,203.88,PENDING,KJIK85615214266023,,Alexis Miller
184,,,2025-04-09 02:53:47,134.46,FAILED,KOOI36948587632583,,Phillip Mcintyre
185,B003,Chicago,2025-04-09 03:14:25,950.16,FAILED,ENHN22144434643256,,David Ortega
186,B002,,2025-04-10 13:38:29,968.89,,WBZL93551127549846,,Donna Cross
187,B003,,2025-04-23 14:45:04,347.51,,HXTD04413036300193,,Randy Velasquez
188,B003,Los Angeles,2025-04-25 23:47:31,155.56,SUCCESS,WIIZ78732070541331,,Paul Hernandez
189,B003,,2025-04-30 02:10:06,493.41,,,,Jennifer Johnson
190,B002,Los Angeles,2025-05-01 18:54:20,977.11,,KZRO41703334288024,,Carol Ray
191,B001,New York,,415.78,FAILED,ZQVU55057456833032,Insufficient Funds,Joseph Kim
192,B001,Los Angeles,2025-04-26 00:41:04,878.51,PENDING,PRWM53447538724746,,Debra Rodriguez
193,B003,,2025-04-09 03:26:42,285.64,,JRKL41954490450697,,Brian Garrett
194,B001,Chicago,2025-04-03 12:56:55,328.76,SUCCESS,OWIP08168484004993,,Shawn Contreras
195,B002,Los Angeles,2025-04-23 22:05:56,988.22,SUCCESS,PZPX70829291776460,,Alicia Ray
196,B003,,2025-04-22 15:13:54,842.98,,OJLQ20088819956665,,Rose Williams
197,,Los Angeles,2025-04-02 09:13:29,823.15,,GJWG18455282293247,,Erin Davis
198,B002,,,247.51,PENDING,DLJD36064718717698,,Amanda Ellison
199,B001,Chicago,2025-04-14 08:36:34,902.02,SUCCESS,EYMR42890414765291,,Troy Willis
200,B003,New York,2025-04-27 07:35:41,424.68,SUCCESS,GKSZ48920262620118,,Steven Sanchez
201,B001,,2025-04-20 23:09:22,511.43,PENDING,FGOJ38494249825700,,Justin Walter
202,B002,Los Angeles,2025-04-07 01:25:12,319.07,,VUOO06633456801727,,Megan Henderson
203,,Chicago,2025-04-05 00:58:18,882.91,,FAQJ55136396738629,,Ariel Walsh
204,B002,,2025-04-18 02:50:52,830.65,FAILED,IZDC77673158675339,Card Expired,Micheal Horton
205,,,2025-04-14 19:40:18,97.17,FAILED,TKXK84856721516764,,Mrs. Shelia Stephens
206,B003,,2025-04-26 22:11:24,725.88,FAILED,DJQT92051004841533,,Linda Rice
207,B002,,2025-04-17 13:47:57,390.94,,PESY80187897042981,,Brian Holmes
208,B001,,2025-04-21 19:14:26,460.52,FAILED,AGIP29120528846736,Card Expired,Kenneth Alexander
209,,Chicago,2025-04-23 05:22:08,902.37,SUCCESS,ZNZH77018387703365,,Matthew Gonzalez
210,B001,,2025-04-26 19:35:50,203.79,,OXTK09152637546330,,Joshua Hammond
211,B001,New York,2025-04-07 08:40:56,300.22,,HZEX40164016003388,,Richard Rose
212,B002,,2025-04-11 16:21:00,217.68,FAILED,MNNF18706360690095,Network Error,James Knight
213,B002,,2025-04-17 23:15:32,914.07,FAILED,GWTC87673773750709,Network Error,Gary Porter
214,B002,,2025-04-19 05:24:46,799.29,,SDNZ81815086316385,,Matthew Williams
215,B001,Los Angeles,2025-04-27 13:57:58,,FAILED,TCSP16509032893947,Insufficient Funds,Steven Jones
216,B003,,2025-04-02 13:15:00,582.44,,ZIFA98208672076560,,Tony Dunn
217,B003,New York,2025-04-10 06:51:07,282.96,FAILED,ZMBR68689211634867,Network Error,Stephanie Hawkins
218,B003,,2025-04-11 10:04:12,640.65,SUCCESS,ZFIR11796522437349,,Olivia Thompson
219,B003,,2025-04-11 17:54:10,601.61,,YOOM27119340041618,,Jose Olsen
220,,Chicago,2025-04-18 17:52:23,352.4,,QRTQ76098359157290,,Nicole Aguilar
221,,,2025-04-10 03:44:07,,,YZJQ78115082628442,,William Baxter
222,B001,,2025-04-05 20:58:05,934.22,,WUOS80277596385887,,Larry Hunter
223,,,2025-04-17 01:24:54,861.35,PENDING,NLRX13265748269554,,Tracy Sampson
224,B002,New York,2025-04-13 11:14:47,745.01,FAILED,ZCYA52394694021474,,Angel Waters
225,B001,Chicago,2025-04-20 15:11:33,150.19,SUCCESS,GHQX20317111569385,,Karen Miller
226,B001,,2025-04-05 16:21:58,237.32,,XAHU99891723578063,,Leslie Bolton
227,B002,,2025-04-23 23:57:23,726.5,,MDGA90193795043279,,Brian Solomon
228,,,2025-04-25 04:49:18,296.98,PENDING,ARPN23720955013662,,Samuel Johnson
229,B002,New York,2025-05-01 03:05:01,,FAILED,SBTD28515100027063,,Kristina Hester
230,,New York,2025-04-06 20:24:54,501.52,,RUXO43905611583941,,Chelsey Davis
231,B003,Chicago,2025-04-02 05:40:46,126.92,PENDING,AQUQ94350691178693,,Austin Kerr
232,,Los Angeles,2025-04-17 15:31:06,305.36,,TBWD30532218091145,,Madison Miles
233,B002,Chicago,2025-04-27 09:47:29,149.21,FAILED,IMOP44256379738186,,Lance Williams
234,B001,,2025-04-15 02:53:12,78.02,FAILED,UHFG88521431471912,,Ms. Angela Medina
235,B001,New York,2025-04-18 04:43:10,192.22,FAILED,FFLM26392056652249,Network Error,Tyler Edwards
236,B002,New York,2025-04-10 09:13:59,,,GRUL96064086220108,,Justin Donovan
237,B003,Chicago,2025-04-06 23:13:27,416.24,,DGIN30125586189401,,Ana Collins
238,B002,,2025-04-29 00:37:02,457.6,PENDING,NHOE69704945573348,,Ethan Rich
239,B002,Chicago,2025-04-25 18:20:53,,,TWHW82817410876817,,Kyle Gentry MD
240,B003,Chicago,2025-04-28 00:11:48,360.51,SUCCESS,DZYT84732905000041,,Keith Collier
241,B002,,2025-04-23 20:40:17,111.1,,HLJK31988347153323,,Richard Hernandez
242,B001,New York,2025-04-12 05:31:41,915.95,FAILED,UQJD33372938566372,Card Expired,Shelia Clark
243,B001,,2025-04-03 07:54:30,145.25,PENDING,IQPZ40617856167545,,James Jones
244,,,2025-04-12 19:07:56,645.18,PENDING,HNDB54613448776325,,Amber Vaughn
245,B002,Los Angeles,2025-04-30 01:26:40,760.95,,PUSI50925176429696,,George Sparks
246,B001,New York,2025-04-16 00:59:05,594.54,SUCCESS,NHXS54274962267573,,Maria Schultz
247,B003,New York,2025-04-26 18:40:46,794.57,SUCCESS,NKCI07186149781853,,Joshua Perez
248,B002,New York,2025-04-09 23:58:17,168.54,PENDING,TPGH94847401889735,,Amanda Lewis
249,,New York,2025-04-25 02:48:55,550.83,PENDING,SAIC63486023563289,,Heather Miller
250,B001,Los Angeles,2025-04-20 21:51:37,681.22,FAILED,DZHX46705462870398,,Ann Keller
